State,City,City_Inactive_Date,City_AddTime
CA,EXETER,,2018-01-01
CA,FAIR OAKS,,2018-01-01
CA,FAIRFAX,,2018-01-01
CA,FAIRFIELD,,2018-01-01
CA,FALL RIVER MILLS,,2018-01-01
CA,FALLBROOK,,2018-01-01
CA,FARMERSVILLE,,2018-01-01
CA,FARMINGTON,,2018-01-01
CA,FAWNSKIN,,2018-01-01
CA,FEATHER FALLS,,2018-01-01
CA,FELLOWS,,2018-01-01
CA,FELTON,,2018-01-01
CA,FERNDALE,,2018-01-01
CA,FIDDLETOWN,,2018-01-01
CA,FIELDS LANDING,,2018-01-01
CA,FILLMORE,,2018-01-01
CA,FINLEY,,2018-01-01
CA,FIREBAUGH,,2018-01-01
CA,FISH CAMP,,2018-01-01
CA,FIVE POINTS,,2018-01-01
CA,FLORISTON,,2018-01-01
CA,FLOURNOY,,2018-01-01
CA,FOLSOM,,2018-01-01
CA,FONTANA,,2018-01-01
CA,FOOTHILL RANCH,,2018-01-01
CA,FORBESTOWN,,2018-01-01
CA,FOREST FALLS,,2018-01-01
CA,FOREST KNOLLS,,2018-01-01
CA,FOREST RANCH,,2018-01-01
CA,FORESTHILL,,2018-01-01
CA,FORESTVILLE,,2018-01-01
CA,FORKS OF SALMON,,2018-01-01
CA,FORT BIDWELL,,2018-01-01
CA,FORT BRAGG,,2018-01-01
CA,FORT DICK,,2018-01-01
CA,FORT IRWIN,,2018-01-01
CA,FORT JONES,,2018-01-01
CA,FORTUNA,,2018-01-01
CA,FOUNTAIN VALLEY,,2018-01-01
CA,FOWLER,,2018-01-01
CA,FRAZIER PARK,,2018-01-01
CA,FREEDOM,,2018-01-01
CA,FREMONT,,2018-01-01
CA,FRENCH CAMP,,2018-01-01
CA,FRENCH GULCH,,2018-01-01
CA,FRESNO,,2018-01-01
CA,FRIANT,,2018-01-01
CA,FULLERTON,,2018-01-01
CA,FULTON,,2018-01-01
CA,GALT,,2018-01-01
CA,GARBERVILLE,,2018-01-01
CA,GARDEN GROVE,,2018-01-01
CA,GARDEN VALLEY,,2018-01-01
CA,GARDENA,,2018-01-01
CA,GASQUET,,2018-01-01
CA,GAZELLE,,2018-01-01
CA,GEORGETOWN,,2018-01-01
